I1,I2,File Name,Link,Humour,Caption,Comments,Notes,Latest Upload date
7,p,Flem - Diagram.mp4,Flem - Diagram.mp4,Flem,A bit of fleminist theory to help you achieve true perfection #oxford,,,11/12
8,b,Sang - Vampires.mp4,Sang - Vampires.mp4,Sang,🧛🏻‍♀️👶🏼🧛🏻‍♀️,,,11/12
8,c,Cole - Opal Hanky Panky.mp4,Cole - Opal Hanky Panky.mp4,Cole,Vulnerability bro #noshamenogain,,,11/12
8,m,Mel - Joe Rogan.mp4,Mel - Joe Rogan.mp4,Mel,Honored to be a guest on Joe's podcast again this week,RacistUncle420: Joe makes a lot of great points here!,,11/12
8,p,Flem - Skincare Story.mp4,Flem - Skincare Story.mp4,Flem,"If you're wondering, the reason I was condemned to be executed was also for having too supple of skin #salem",,,
9,b,Sang - Vampire Boyfriend Rave.mp4,,Sang,🪩👯‍♀️💃🏼🕺🏼🧛🏻‍♂️💖💝💘💞💖💗💕💗💖💞❤️‍🔥🩷♥️❤️❣️💏💘💗,,NEW UPLOAD (replaced Sang - Rave2.mp4),
9,c,Cole - Opal Supplements.mp4,Cole - Opal Supplements.mp4,Cole,Enhance your codpiece at least TWENTY INCHES without needing to buy a new codpiece #anti-inflemmation,,,11/12
9,m,Mel - Squirt.mp4,Mel - Squirt.mp4,Mel,We need to find out who ELIMINATED the fifth humour #psyops #kgb,,,11/12
9,p,Flem - So Dry.mp4,Flem - So Dry.mp4,Flem,They don't know that I'm the literal embodiment of phlegm #ibiza,,,
10,b,Sang - Bloodbounding.mp4,Sang - Bloodbounding.mp4,Sang,🦘🅱️➕❤️🫀❤️,,,11/12
10,c,Cole - Work of art.mp4,Cole - Work of art.mp4,Cole,For those that say I'm not cultured #leuve #whatnowflem ,,,11/12
10,m,Mel - Sang Excercize.mp4,Mel - Sang Excercize.mp4,Mel,"Join #trulyantisocial today! ALL YOUR TRUTH, ALL THE TIME",,,11/12
10,p,Flem - Behind the scene.mp4,Flem - Behind the scene.mp4,Flem,"All our products use a base of 100% pure, unvaccinated phlegm #controlispurity",,,11/12
11,b,Sang - Implants.mp4,Sang - Implants.mp4,Sang,🦷👶🏼🦷❓💝❤️💖,Vladdy: So hot babygirl!! they look totally natural on you,,11/12
11,c,Cole - Opal Mel Gift.mp4,Cole - Opal Mel Gift.mp4,Cole,Adding 50 reps of lifting binoculars to my face to my morning routine #bilebirding,,,11/12
11,m,Mel - AntiWax.mp4,Mel - AntiWax.mp4,Mel,Big whale oil put out the hit!! WAX DOES NOT CAUSE SCURVY,,,11/12
11,p,Flem - Flemdiagram Follow-up.mp4,Flem - Flemdiagram Follow-up.mp4,Flem,Is your body gross? AMA about how to fix it! #lily #plagarism #berkeleyhills,,,11/12
12,b,Sang - OnlyFlems Confrontation-.mp4,Sang - OnlyFlems Confrontation-.mp4,Sang,‼️🍵🫢👙😏,Flem: You have zero class. Shaming sex work is anti-fleminist.,,11/12
12,c,Cole - Opal Lifting.mp4,,Cole,HUMILIATING the lift challenge 💪🏻 #supplementpower,,NEW UPLOAD,
12,m,Mel - Lord Brayn Rumors.mp4,Mel - Lord Brayn Rumors.mp4,Mel,Straightening out the FACTS,,,11/12
12,p,Flem - Sang Cant Read.mp4,Flem - Sang Cant Read.mp4,Flem,It's Illiteracy Awareness Month! Help do your part! #activism #berlin,,,11/12
13,b,Sang - Doe Eyes.mp4,Sang - Doe Eyes.mp4,Sang,🦌👁️👁️🦌,,,11/12
13,c,Cole - Fast Leeches.mp4,,Cole,New sponsor 💰 Lost my phone sponsorship due to FALSE MELicious accusations that my bile boys were being exploited #seeyouincourt #healthiswealth,,NEW UPLOAD,
13,m,Mel - Wonder Tour v2.mp4,,Mel,☣️ In the words of our the bard (Britney Shakespeares) ☣️,,REVISED VERSION (by Project Lead Request) - replace with v2!,11/12
13,p,Flem - OnlyFlems.mp4,Flem - OnlyFlems.mp4,Flem,"Dispelling some vicious rumors started by my housemate Sang. Sang, if you're reading this - oh wait, nevermind. 😇 #kyoto",,,11/12
14,b,Sang - Raver Girl Bath Blood.mp4,Sang - Raver Girl Bath Blood.mp4,Sang,🆕🎁‼️🪩💃🏻🛀🏻🩸💝,,,11/12
14,c,Cole - Just the Tip.mp4,Cole - Just the Tip.mp4,Cole,#healthtip,,,11/12
14,m,Mel - Bath Breakdown.mp4,,Mel,🚨 NEW EXPOSE 🚨 installing hidden cameras in all our bathrooms really paid off,"Sang:😡🛑🤬
Chol: you did fucking what? Mel we are having a house meeting TONIGHT.",NEW UPLOAD,
14,p,Flem - Skincare Routine.mp4,Flem - Skincare Routine.mp4,Flem,My daily routine. Buy now to stay moist and worthy of love! #internationalspacestation,,,11/13 AM
15,b,Sang - All You Need is Blood.mp4,Mel - All You Need is Blood.mp4,Sang,🐞🩸❤️🚫🦪🚫👑🚫🕸️,,,11/12
15,c,Cole - Circus.mp4,Cole - Circus.mp4,Cole,Health is wealth!! #skills,"Mel: You fell for the conspiracy of excerize yet again!
Cole: Dont underestimate my waggle!
Mel: Its all codpeice","<----
Demonstrating comment format
Creators can reply to each other
Create fake fans to make them seem like real influencers",11/12
15,m,Mel - Unboxing ASMR.mp4,Mel - Unboxing ASMR.mp4,Mel,MEL MEL MEL MEL MEL MEL MEL MEL,,,11/12
15,p,Flem - Handkerchief.mp4,Flem - Handkerchief.mp4,Flem,A few mementos from last month's travels - one from every country! #blessme #milan #oldworldnewface,,,
16,b,Sang Spills the Tea.mp4,,Sang,🍵🚫🦠💐🌼🤢🤮‼️🧠💖💞🩷,,NEW UPLOAD,
16,c,Cole - Protein Powder Edit.mp4,Cole - Protein Powder Edit.mp4,Cole,Desperate times call for desperate measures,,,11/12
16,m,Mel - Eating Tinfoil.mp4,Mel - Eating Tinfoil.mp4,Mel,🦠 !!GREEN ALERT!! 🦠 BREAKING NEWS our body has been breached more foreign contaminants. PROTECT YOURSELF NOW 🍽️,,,11/12
16,p,Flem - Kombucha Apology.mp4,Flem - Kombucha Apology.mp4,Flem,I'm so sorry. That I was ever friends with that bitch Sang. #confession #vaticancityfourseasons #sacksang,,,11/12
